Entity,Code,Year,biomass_mean_region
Atlantic Ocean tunas,,1970,1.79
Atlantic Ocean tunas,,1971,1.695
Atlantic Ocean tunas,,1972,1.655
Atlantic Ocean tunas,,1973,1.67
Atlantic Ocean tunas,,1974,1.67
Atlantic Ocean tunas,,1975,1.615
Atlantic Ocean tunas,,1976,1.64
Atlantic Ocean tunas,,1977,1.61
Atlantic Ocean tunas,,1978,1.58
Atlantic Ocean tunas,,1979,1.57
Atlantic Ocean tunas,,1980,1.545
Atlantic Ocean tunas,,1981,1.515
Atlantic Ocean tunas,,1982,1.48
Atlantic Ocean tunas,,1983,1.405
Atlantic Ocean tunas,,1984,1.34
Atlantic Ocean tunas,,1985,1.34
Atlantic Ocean tunas,,1986,1.32
Atlantic Ocean tunas,,1987,1.23
Atlantic Ocean tunas,,1988,1.15
Atlantic Ocean tunas,,1989,1.135
Atlantic Ocean tunas,,1990,1.21
Atlantic Ocean tunas,,1991,1.18
Atlantic Ocean tunas,,1992,1.125
Atlantic Ocean tunas,,1993,1.12
Atlantic Ocean tunas,,1994,1.06
Atlantic Ocean tunas,,1995,1.04
Atlantic Ocean tunas,,1996,0.9885
Atlantic Ocean tunas,,1997,0.961
Atlantic Ocean tunas,,1998,0.9325
Atlantic Ocean tunas,,1999,0.9129999999999999
Atlantic Ocean tunas,,2000,0.851
Atlantic Ocean tunas,,2001,0.8290000000000001
Atlantic Ocean tunas,,2002,0.838
Atlantic Ocean tunas,,2003,0.8385
Atlantic Ocean tunas,,2004,0.7965
Atlantic Ocean tunas,,2005,0.8
Atlantic Ocean tunas,,2006,0.8140000000000001
Atlantic Ocean tunas,,2007,0.7859999999999999
Atlantic Ocean tunas,,2008,0.823
Atlantic Ocean tunas,,2009,0.8809999999999999
Atlantic Ocean tunas,,2010,0.904
Atlantic Ocean tunas,,2011,1.12
Atlantic Ocean tunas,,2012,1.14
Atlantic Ocean tunas,,2013,1.15
Atlantic Ocean tunas,,2014,1.135
Australia,AUS,1970,2.29500324306199
Australia,AUS,1971,2.12604647455105
Australia,AUS,1972,2.0844397329822497
Australia,AUS,1973,2.5253184124408103
Australia,AUS,1974,2.01615985998167
Australia,AUS,1975,2.0844397329822497
Australia,AUS,1976,2.0844397329822497
Australia,AUS,1977,2.17040468144421
Australia,AUS,1978,2.1139298116982
Australia,AUS,1979,2.0693997868854197
Australia,AUS,1980,2.6791878092794197
Australia,AUS,1981,2.4442328574185295
Australia,AUS,1982,2.32500198632494
Australia,AUS,1983,2.15667605066341
Australia,AUS,1984,1.99804487034715
Australia,AUS,1985,1.93556790403375
Australia,AUS,1986,2.39738514816552
Australia,AUS,1987,2.26299775120815
Australia,AUS,1988,2.51899993411527
Australia,AUS,1989,2.44367509100344
Australia,AUS,1990,2.2234140637209303
Australia,AUS,1991,2.17819208276389
Australia,AUS,1992,2.17819208276389
Australia,AUS,1993,1.62247149068891
Australia,AUS,1994,1.55733577390943
Australia,AUS,1995,1.5810214891019698
Australia,AUS,1996,1.7528620053169999
Australia,AUS,1997,1.46373012815131
Australia,AUS,1998,1.27421389659923
Australia,AUS,1999,1.21711797336364
Australia,AUS,2000,1.35886978092071
Australia,AUS,2001,1.4181854631438
Australia,AUS,2002,1.5197746797013798
Australia,AUS,2003,1.61323675893435
Australia,AUS,2004,1.5471517564880202
Australia,AUS,2005,1.4208699653088603
Australia,AUS,2006,1.4077293424700401
Australia,AUS,2007,1.27003614611858
Australia,AUS,2008,1.4818841239601201
Australia,AUS,2009,1.38776839624539
Australia,AUS,2010,1.39615785721339
Australia,AUS,2011,1.17905670894824
Australia,AUS,2012,1.1015335433989
Australia,AUS,2013,1.3466825030953002
Australia,AUS,2014,1.34889589238488
Australia,AUS,2015,1.74571003538099
Australia,AUS,2016,1.96971091319127
Australia,AUS,2017,2.32593295836669
Canada East Coast,,1970,1.1510788921503101
Canada East Coast,,1971,1.2660987201793799
Canada East Coast,,1972,1.145
Canada East Coast,,1973,1.06
Canada East Coast,,1974,0.996
Canada East Coast,,1975,1.0340163961039002
Canada East Coast,,1976,0.9820757251908392
Canada East Coast,,1977,1.000155
Canada East Coast,,1978,1.16730769230769
Canada East Coast,,1979,1.05651259455458
Canada East Coast,,1980,1.12842867462945
Canada East Coast,,1981,1.14
Canada East Coast,,1982,1.12
Canada East Coast,,1983,1.21624134199134
Canada East Coast,,1984,1.13899351606248
Canada East Coast,,1985,1.15
Canada East Coast,,1986,1.1634501836403799
Canada East Coast,,1987,1.1370664077755
Canada East Coast,,1988,0.9840801458712549
Canada East Coast,,1989,0.885374618796673
Canada East Coast,,1990,0.924875081168831
Canada East Coast,,1991,0.715391257815953
Canada East Coast,,1992,0.726305545521182
Canada East Coast,,1993,0.692520327668752
Canada East Coast,,1994,0.514445914741413
Canada East Coast,,1995,0.547545691675815
Canada East Coast,,1996,0.566346051199635
Canada East Coast,,1997,0.589347025024089
Canada East Coast,,1998,0.544335931850721
Canada East Coast,,1999,0.644555573807047
Canada East Coast,,2000,0.7287936215587429
Canada East Coast,,2001,0.665025475022954
Canada East Coast,,2002,0.661453455936541
Canada East Coast,,2003,0.520661601660467
Canada East Coast,,2004,0.6858124180589209
Canada East Coast,,2005,0.551423032183016
Canada East Coast,,2006,0.649
Canada East Coast,,2007,0.8526610169491519
Canada East Coast,,2008,0.809676371632323
Canada East Coast,,2009,0.732692307692308
Canada East Coast,,2010,0.8835085825935021
Canada East Coast,,2011,1.1181922781373999
Canada East Coast,,2012,1.1922407592435802
Canada East Coast,,2013,1.06124552325581
Canada East Coast,,2014,1.0011351744186
Canada East Coast,,2015,0.44071847010178106
Canada East Coast,,2016,0.21311925820004898
Canada East Coast,,2017,0.22170662037037
Canada East Coast,,2018,0.26022916666666696
Canada West Coast,,1970,1.02722733666054
Canada West Coast,,1971,1.4729950900163702
Canada West Coast,,1972,1.5166393889798102
Canada West Coast,,1973,2.17515588946136
Canada West Coast,,1974,2.18616257096019
Canada West Coast,,1975,2.14882793373694
Canada West Coast,,1976,2.04125118386134
Canada West Coast,,1977,1.93157394411127
Canada West Coast,,1978,1.67470384075539
Canada West Coast,,1979,1.6421167484997299
Canada West Coast,,1980,1.65848336061102
Canada West Coast,,1981,1.53846153846154
Canada West Coast,,1982,1.56573922531369
Canada West Coast,,1983,1.47745672109563
Canada West Coast,,1984,1.5111838516093798
Canada West Coast,,1985,1.53024298870132
Canada West Coast,,1986,1.52209492635025
Canada West Coast,,1987,1.58210583742499
Canada West Coast,,1988,1.63120567375887
Canada West Coast,,1989,1.66939443535188
Canada West Coast,,1990,1.5202964582576
Canada West Coast,,1991,1.46881287726358
Canada West Coast,,1992,1.5643063583815
Canada West Coast,,1993,1.48390616475723
Canada West Coast,,1994,1.32947976878613
Canada West Coast,,1995,1.06218670977807
Canada West Coast,,1996,1.1271676300578002
Canada West Coast,,1997,1.17203219315895
Canada West Coast,,1998,1.17203219315895
Canada West Coast,,1999,1.06644178665534
Canada West Coast,,2000,1.05065567424221
Canada West Coast,,2001,0.965521505005227
Canada West Coast,,2002,1.05346508463338
Canada West Coast,,2003,1.10457220866873
Canada West Coast,,2004,0.858967246279542
Canada West Coast,,2005,0.7746863066012
Canada West Coast,,2006,0.8912534132959041
Canada West Coast,,2007,0.900472056194324
Canada West Coast,,2008,0.8950575573488601
Canada West Coast,,2009,1.23002791399511
Canada West Coast,,2010,0.981424318758184
Canada West Coast,,2011,1.06119765559922
Canada West Coast,,2012,1.1827329988787099
Canada West Coast,,2013,1.1794966223253898
Canada West Coast,,2014,1.30912225577225
Canada West Coast,,2015,1.12790224284573
Canada West Coast,,2016,1.1123136404236298
Canada West Coast,,2017,1.00771272184442
Canada West Coast,,2018,1.14715992654657
Europe-EU NE Atl,,1970,1.7933333333333399
Europe-EU NE Atl,,1971,1.68852459016393
Europe-EU NE Atl,,1972,1.6919623059867002
Europe-EU NE Atl,,1973,1.59051948051948
Europe-EU NE Atl,,1974,1.74
Europe-EU NE Atl,,1975,1.44
Europe-EU NE Atl,,1976,1.32
Europe-EU NE Atl,,1977,1.2828571428571398
Europe-EU NE Atl,,1978,1.1761040420267
Europe-EU NE Atl,,1979,1.23133181633907
Europe-EU NE Atl,,1980,1.32539461467038
Europe-EU NE Atl,,1981,1.37511348897536
Europe-EU NE Atl,,1982,1.3941391050583702
Europe-EU NE Atl,,1983,1.41801218856426
Europe-EU NE Atl,,1984,1.32824355971897
Europe-EU NE Atl,,1985,1.3241123534405002
Europe-EU NE Atl,,1986,1.27055555555555
Europe-EU NE Atl,,1987,1.1937039614175702
Europe-EU NE Atl,,1988,1.34
Europe-EU NE Atl,,1989,1.15
Europe-EU NE Atl,,1990,1.14322191272052
Europe-EU NE Atl,,1991,1.16923359269959
Europe-EU NE Atl,,1992,1.08181571815719
Europe-EU NE Atl,,1993,1.15315315315315
