Entity,Code,Year,Nitrogen (kgN / t edible weight)
Bivalves (farmed),,2021,-129.8268507
Carp (farmed),,2021,147.7959175
Catfish (farmed),,2021,132.8816973
Chicken,,2021,204.1
Milkfish (farmed),,2021,146.5361472
Other freshwater fish (farmed),,2021,156.05219
Other marine fish (farmed),,2021,234.552923
Salmon (farmed),,2021,110.5565086
Seaweed (farmed),,2021,-14.65288469
Shrimp (farmed),,2021,123.0370341
Silver/bighead (farmed),,2021,43.2844742
Tilapia (farmed),,2021,199.8315172
Trout (farmed),,2021,98.88904
