Entity,Code,Year,Phosphorous (kgP / t edible weight)
Bivalves (farmed),,2021,-24.27907717
Carp (farmed),,2021,20.26049016
Catfish (farmed),,2021,20.81667642
Chicken,,2021,30.5
Milkfish (farmed),,2021,23.92139217
Other freshwater fish (farmed),,2021,37.50265945
Other marine fish (farmed),,2021,50.17616112
Salmon (farmed),,2021,26.61969116
Seaweed (farmed),,2021,-10.14246064
Shrimp (farmed),,2021,23.98413645
Silver/bighead (farmed),,2021,6.56289552
Tilapia (farmed),,2021,24.41310789
Trout (farmed),,2021,23.21956704
